filename, language, JSON, Markdown, HTML, JavaScript, CSS, XML, comment, blank, total
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\README.md, Markdown, 0, 37, 0, 0, 0, 0, 0, 32, 69
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\config\default.json, JSON, 3, 0, 0, 0, 0, 0, 0, 0, 3
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\middleware\auth.js, JavaScript, 0, 0, 0, 16, 0, 0, 0, 3, 19
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\package-lock.json, JSON, 609, 0, 0, 0, 0, 0, 0, 1, 610
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\package.json, JSON, 19, 0, 0, 0, 0, 0, 0, 1, 20
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\routes\api\auth.js, JavaScript, 0, 0, 0, 44, 0, 0, 0, 7, 51
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\routes\api\boards.js, JavaScript, 0, 0, 0, 55, 0, 0, 0, 7, 62
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\routes\api\todos.js, JavaScript, 0, 0, 0, 58, 0, 0, 0, 8, 66
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\routes\api\users.js, JavaScript, 0, 0, 0, 90, 0, 0, 0, 8, 98
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\schemes\board.model.js, JavaScript, 0, 0, 0, 13, 0, 0, 0, 2, 15
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\schemes\todo.model.js, JavaScript, 0, 0, 0, 10, 0, 0, 0, 2, 12
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\schemes\user.model.js, JavaScript, 0, 0, 0, 22, 0, 0, 0, 2, 24
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\backend\server.js, JavaScript, 0, 0, 0, 30, 0, 0, 0, 10, 40
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\package-lock.json, JSON, 13419, 0, 0, 0, 0, 0, 0, 1, 13420
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\package.json, JSON, 41, 0, 0, 0, 0, 0, 0, 1, 42
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\public\index.html, HTML, 0, 0, 20, 0, 0, 0, 23, 1, 44
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 0, 1, 26
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\App.css, CSS, 0, 0, 0, 0, 19, 0, 0, 4, 23
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\App.js, JavaScript, 0, 0, 0, 41, 0, 0, 0, 4, 45
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\App.test.js, JavaScript, 0, 0, 0, 8, 0, 0, 0, 2, 10
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\actions\authActions.js, JavaScript, 0, 0, 0, 35, 0, 0, 0, 4, 39
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\actions\errorActions.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 2, 14
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\actions\types.js, JavaScript, 0, 0, 0, 10, 0, 0, 0, 0, 10
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\components\auth\register.component.js, JavaScript, 0, 0, 0, 125, 0, 0, 5, 16, 146
c:\Users\Tomas Volkevičius\Desktop\Saitynas\mern-app\src\components\create-todo.component.js, JavaScript, 0, 0, 0, 116, 0, 0, 0, 13, 129
